"Story","Title","Result","Date","Stability","Duration (s)"
"Student CURD test","This will create a new student","SUCCESS","2024-01-07T12:28:00.434Z[Europe/London]","0.0","0.41"
"Student CURD test","Verify if student was created","SUCCESS","2024-01-07T12:28:01.103Z[Europe/London]","0.0","0.39"
"Student CURD test","Update the user and verify the updated information","SUCCESS","2024-01-07T12:28:01.795Z[Europe/London]","0.0","0.57"
"Student CURD test","Delete the student and verify if the student is deleted","SUCCESS","2024-01-07T12:28:02.777Z[Europe/London]","0.0","0.32"
"Student CURD test","Test0001","SUCCESS","2024-01-07T12:28:03.371Z[Europe/London]","0.0","0.3"
