"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is will get all information of all students","SUCCESS","2024-01-07T12:27:55.285Z[Europe/London]","0.0","0.87"
"First serenity test","Manual","PENDING","2024-01-07T12:27:56.617Z[Europe/London]","0.0","0.29"
"First serenity test","This is compromised","COMPROMISED","2024-01-07T12:27:57.155Z[Europe/London]","0.0","0.27"
"First serenity test","This is skipped","IGNORED","2024-01-07T12:27:57.710Z[Europe/London]","0.0","0.23"
"First serenity test","This is pending","PENDING","2024-01-07T12:27:58.172Z[Europe/London]","0.0","0.32"
"First serenity test","Get all students","SUCCESS","2024-01-07T12:27:58.724Z[Europe/London]","0.0","0.39"
"First serenity test","This is failing test","FAILURE","2024-01-07T12:27:59.503Z[Europe/London]","0.0","0.38"
